Texto,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Sustainable business models for social enterprises in developing countries: a conceptual framework,Management Review Quarterly,,73,2,10.1007/s11301-022-00260-1,Ridge McGibbon ArmstrongSara S. Saartjie Grobbelaar,2023,http://link.springer.com/article/10.1007/s11301-022-00260-1,Article
What exists in academia on work stress in accounting professionals: a bibliometric analysis,Current Psychology,,,,10.1007/s12144-022-03301-w,Margarida RodriguesCidália OliveiraAna BorgesMário FrancoRui Silva,2022,http://link.springer.com/article/10.1007/s12144-022-03301-w,Article
Health-Related Resource-Use Measurement Instruments for Intersectoral Costs and Benefits in the Education and Criminal Justice Sectors,PharmacoEconomics,,35,9,10.1007/s40273-017-0522-4,Susanne MayerAggie T. G. PaulusAgata ŁaszewskaJudit SimonRuben M. W. A. DrostDirk RuwaardSilvia M. A. A. Evers,2017,http://link.springer.com/article/10.1007/s40273-017-0522-4,Article
Measuring open innovation in SMEs: an overview of current research,Review of Managerial Science,,17,2,10.1007/s11846-022-00533-9,Omar Carrasco-CarvajalMauricio Castillo-VergaraDomingo García-Pérez-de-Lema,2023,http://link.springer.com/article/10.1007/s11846-022-00533-9,Article
IFSO 2016 21st World Congress,Obesity Surgery,,26,1,10.1007/s11695-016-2287-9,,2016,http://link.springer.com/article/10.1007/s11695-016-2287-9,Article
"A systematic review into the assessment of medical apps: motivations, challenges, recommendations and methodological aspect",Health and Technology,,10,5,10.1007/s12553-020-00451-4,A. H. AlamoodiSalem GarfanB. B. ZaidanA. A. ZaidanMoceheb Lazam ShuwandyMussab AlaaM. A. AlsalemAli MohammedA. M. AleesaO. S. AlbahriWard Ahmed Al-HusseinO. R. Alobaidi,2020,http://link.springer.com/article/10.1007/s12553-020-00451-4,Article
A qualitative analysis of the marketing analytics literature: where would ethical issues and legality rank?,Journal of Marketing Analytics,,9,3,10.1057/s41270-021-00119-6,Imran Bashir DarMuhammad Bashir KhanAbdul Zahid KhanBahaudin G. Mujtaba,2021,http://link.springer.com/article/10.1057/s41270-021-00119-6,Article
Visionary: a framework for analysis and visualization of provenance data,Knowledge and Information Systems,,64,2,10.1007/s10115-021-01645-6,Weiner de OliveiraRegina BragaJosé Maria N. DavidVictor StroeleFernanda CamposGabriellla Castro,2022,http://link.springer.com/article/10.1007/s10115-021-01645-6,Article
Thirteen years of SysML: a systematic mapping study,Software and Systems Modeling,,19,1,10.1007/s10270-019-00735-y,Sabine WolnyAlexandra MazakChristine CarpellaVerena GeistManuel Wimmer,2020,http://link.springer.com/article/10.1007/s10270-019-00735-y,Article
Requirements engineering for sustainable software systems: a systematic mapping study,Requirements Engineering,,28,3,10.1007/s00766-023-00402-1,Peter BambazekIris GroherNorbert Seyff,2023,http://link.springer.com/article/10.1007/s00766-023-00402-1,Article
Impact of technological innovation on digital entrepreneurship and the effects on the economy,International Entrepreneurship and Management Journal,,,,10.1007/s11365-023-00873-2,Lola Redondo-RodríguezDiana C. Pérez-Bustamante YábarEloísa Díaz-Garrido,2023,http://link.springer.com/article/10.1007/s11365-023-00873-2,Article
Do Cloud Computing Tools Support the Needs of Virtual Enterprises?,Collaboration in a Hyperconnected World,,,,10.1007/978-3-319-45390-3_41,Andre F. RuaroRicardo J. Rabelo,2016,http://link.springer.com/chapter/10.1007/978-3-319-45390-3_41,Chapter
Abstracts of 52nd EASD Annual Meeting,Diabetologia,,59,1,10.1007/s00125-016-4046-9,,2016,http://link.springer.com/article/10.1007/s00125-016-4046-9,Article
"Annual Congress of the European Association of Nuclear Medicine October 12 – 16, 2019 Barcelona, Spain",European Journal of Nuclear Medicine and Molecular Imaging,,46,1,10.1007/s00259-019-04486-2,,2019,http://link.springer.com/article/10.1007/s00259-019-04486-2,Article
Requirement Engineering Challenges: A Systematic Mapping Study on the Academic and the Industrial Perspective,Arabian Journal for Science and Engineering,,46,4,10.1007/s13369-020-05159-1,Muhammad TukurSani UmarJameleddine Hassine,2021,http://link.springer.com/article/10.1007/s13369-020-05159-1,Article
ESICM LIVES 2021: Part 2,Intensive Care Medicine Experimental,,9,1,10.1186/s40635-021-00415-6,,2021,http://link.springer.com/article/10.1186/s40635-021-00415-6,Article
A systematic review of the factors – enablers and barriers – affecting e-learning in health sciences education,BMC Medical Education,,20,1,10.1186/s12909-020-02007-6,Krishna RegmiLinda Jones,2020,http://link.springer.com/article/10.1186/s12909-020-02007-6,Article
Ontology-Based Information Integration: A State-of-the-Art Review in Road Asset Management,Archives of Computational Methods in Engineering,,29,5,10.1007/s11831-021-09668-6,Xiang LeiPeng WuJunxiang ZhuJun Wang,2022,http://link.springer.com/article/10.1007/s11831-021-09668-6,Article
Digital Technology-Driven Business Process Redesign: A Classification Framework,Research Challenges in Information Science: Information Science and the Connected World,,,,10.1007/978-3-031-33080-3_13,Kateryna KubrakFredrik MilaniJuuli Nava,2023,http://link.springer.com/chapter/10.1007/978-3-031-33080-3_13,Chapter
"Incorporating big data and IoT in intelligent ecosystems: state-of-the-arts, challenges and opportunities, and future directions",Multimedia Tools and Applications,,,,10.1007/s11042-023-16328-3,Nimra SaeedHassaan MalikAhmad NaeemUmair Bashir,2023,http://link.springer.com/article/10.1007/s11042-023-16328-3,Article
Machine Learning Techniques for Software Maintainability Prediction: Accuracy Analysis,Journal of Computer Science and Technology,,35,5,10.1007/s11390-020-9668-1,Sara ElmidaouiLaila CheikhiAli IdriAlain Abran,2020,http://link.springer.com/article/10.1007/s11390-020-9668-1,Article
"European Association of Nuclear Medicine October 20-23, 2021 Virtual",European Journal of Nuclear Medicine and Molecular Imaging,,48,1,10.1007/s00259-021-05547-1,,2021,http://link.springer.com/article/10.1007/s00259-021-05547-1,Article
24th IFSO World Congress,Obesity Surgery,,29,5,10.1007/s11695-019-04101-1,,2019,http://link.springer.com/article/10.1007/s11695-019-04101-1,Article
Putting situational impairments in context: developing guidance for situational impairments and severely constraining situational impairments by examining parallel domains,Universal Access in the Information Society,,21,4,10.1007/s10209-021-00811-5,Sidas SaulynasLawrence BurgeeApoorva BendigeriRavi Kuber,2022,http://link.springer.com/article/10.1007/s10209-021-00811-5,Article
Investigating probabilistic sampling approaches for large-scale surveys in software engineering,Journal of Software Engineering Research and Development,,3,1,10.1186/s40411-015-0023-0,Rafael Maiani de MelloPedro Corrêa da SilvaGuilherme Horta Travassos,2015,http://link.springer.com/article/10.1186/s40411-015-0023-0,Article
"Landscape of sign language research based on smartphone apps: coherent literature analysis, motivations, open challenges, recommendations and future directions for app assessment",Universal Access in the Information Society,,,,10.1007/s10209-022-00966-9,Dianes DavidA. H. AlamoodiO. S. AlbahriB. B. ZaidanA. A. ZaidanSalem GarfanAmelia Ritahani IsmailA. S. AlbahriBelal AlsinglawiR. Q. Malik,2023,http://link.springer.com/article/10.1007/s10209-022-00966-9,Article
Deep learning-based ambient assisted living for self-management of cardiovascular conditions,Neural Computing and Applications,,34,13,10.1007/s00521-020-05678-w,Maria Ahmed QureshiKashif Naseer QureshiGwanggil JeonFrancesco Piccialli,2022,http://link.springer.com/article/10.1007/s00521-020-05678-w,Article
Status of mountain-tourism and research in the Indian Himalayan Region: a systematic review,Asia-Pacific Journal of Regional Science,,6,3,10.1007/s41685-022-00243-w,Poulomi ChakrabortySomnath Ghosal,2022,http://link.springer.com/article/10.1007/s41685-022-00243-w,Article
"Scientific Session of the 16th World Congress of Endoscopic Surgery, Jointly Hosted by Society of American Gastrointestinal and Endoscopic Surgeons (SAGES) & Canadian Association of General Surgeons (CAGS), Seattle, Washington, USA, 11–14 April 2018: Poster Abstracts",Surgical Endoscopy,,32,1,10.1007/s00464-018-6121-4,,2018,http://link.springer.com/article/10.1007/s00464-018-6121-4,Article
Advancing database security: a comprehensive systematic mapping study of potential challenges,Wireless Networks,,,,10.1007/s11276-023-03436-z,Asif IqbalSiffat Ullah KhanMahmood NiaziMamoona HumayunNajm Us SamaArif Ali KhanAakash Ahmad,2023,http://link.springer.com/article/10.1007/s11276-023-03436-z,Article
Abstracts,Virchows Archiv,,475,1,10.1007/s00428-019-02631-8,,2019,http://link.springer.com/article/10.1007/s00428-019-02631-8,Article
An empirical study of software entropy based bug prediction using machine learning,International Journal of System Assurance Engineering and Management,,8,2,10.1007/s13198-016-0479-2,Arvinder KaurKamaldeep KaurDeepti Chopra,2017,http://link.springer.com/article/10.1007/s13198-016-0479-2,Article
Barriers and wellbeing-oriented enablers of intergenerational innovation in the digital age,Universal Access in the Information Society,,22,2,10.1007/s10209-021-00844-w,Irawan NurhasStefan GeislerArto OjalaJan M. Pawlowski,2023,http://link.springer.com/article/10.1007/s10209-021-00844-w,Article
A guideline for software architecture selection based on ISO 25010 quality related characteristics,International Journal of System Assurance Engineering and Management,,8,2,10.1007/s13198-016-0546-8,Mariem HaouesAsma SellamiHanêne Ben-AbdallahLaila Cheikhi,2017,http://link.springer.com/article/10.1007/s13198-016-0546-8,Article
"Big data in education: a state of the art, limitations, and future research directions",International Journal of Educational Technology in Higher Education,,17,1,10.1186/s41239-020-00223-0,Maria Ijaz BaigLiyana ShuibElaheh Yadegaridehkordi,2020,http://link.springer.com/article/10.1186/s41239-020-00223-0,Article
Editorial: EAIT 21 − 8 (September 2022),Education and Information Technologies,,27,8,10.1007/s10639-022-11314-y,Arthur Tatnall,2022,http://link.springer.com/article/10.1007/s10639-022-11314-y,Article
Investigating the effects of personality traits on pair programming in a higher education setting through a family of experiments,Empirical Software Engineering,,19,3,10.1007/s10664-012-9238-4,Norsaremah SallehEmilia MendesJohn Grundy,2014,http://link.springer.com/article/10.1007/s10664-012-9238-4,Article
Profiling users via their reviews: an extended systematic mapping study,Software and Systems Modeling,,20,1,10.1007/s10270-020-00790-w,Xin DongTong LiRui SongZhiming Ding,2021,http://link.springer.com/article/10.1007/s10270-020-00790-w,Article
Establishment of a typology for startups 4.0,Review of Managerial Science,,16,3,10.1007/s11846-021-00463-y,Fabíola KaczamJulio Cezar Mairesse SilukGil Eduardo GuimaraesGilnei Luiz de MouraWesley Vieira da SilvaClaudimar Pereira da Veiga,2022,http://link.springer.com/article/10.1007/s11846-021-00463-y,Article
Methods in Designing and Developing Capabilities: A Systematic Mapping Study,The Practice of Enterprise Modeling,,,,10.1007/978-3-319-25897-3_14,Hasan Koç,2015,http://link.springer.com/chapter/10.1007/978-3-319-25897-3_14,Chapter
Knowledge graph model development for knowledge discovery in dementia research using cognitive scripting and next-generation graph-based database: a design science research approach,Social Network Analysis and Mining,,12,1,10.1007/s13278-022-00894-9,Kiran FahdYuan MiaoShah J. MiahSitalakshmi VenkatramanKhandakar Ahmed,2022,http://link.springer.com/article/10.1007/s13278-022-00894-9,Article
"Editorial for EAIT issue 3, 2023",Education and Information Technologies,,28,3,10.1007/s10639-023-11654-3,Arthur Tatnall,2023,http://link.springer.com/article/10.1007/s10639-023-11654-3,Article
Empirical research in requirements engineering: trends and opportunities,Requirements Engineering,,23,1,10.1007/s00766-016-0258-2,Talat AmbreenNaveed IkramMuhammad UsmanMahmood Niazi,2018,http://link.springer.com/article/10.1007/s00766-016-0258-2,Article
Systematic mapping study on domain-specific language development tools,Empirical Software Engineering,,25,5,10.1007/s10664-020-09872-1,Aníbal IungJoão CarbonellLuciano MarchezanElder RodriguesMaicon BernardinoFabio Paulo BassoBruno Medeiros,2020,http://link.springer.com/article/10.1007/s10664-020-09872-1,Article
Sign language mobile apps: a systematic review of current app evaluation progress and solution framework,Evolving Systems,,,,10.1007/s12530-023-09494-0,Dianes DavidA. H. AlamoodiO. S. AlbahriSalem GarfanA. S. AlbahriB. B. ZaidanJuliana Chen,2023,http://link.springer.com/article/10.1007/s12530-023-09494-0,Article
Using empirical studies to mitigate symbol overload in iStar extensions,Software and Systems Modeling,,19,3,10.1007/s10270-019-00770-9,Enyo GonçalvesCamilo AlmendraMiguel GoulãoJoão AraújoJaelson Castro,2020,http://link.springer.com/article/10.1007/s10270-019-00770-9,Article
The state of lead scoring models and their impact on sales performance,Information Technology and Management,,,,10.1007/s10799-023-00388-w,Migao WuPavel AndreevMorad Benyoucef,2023,http://link.springer.com/article/10.1007/s10799-023-00388-w,Article
Theoretical background of innovation in services in small and medium-sized enterprises: literature mapping,Journal of Innovation and Entrepreneurship,,9,1,10.1186/s13731-020-00135-3,Saymon Ricardo de Oliveira SousaWesley Vieira da SilvaClaudimar Pereira da VeigaRoselaine Ruviaro Zanini,2020,http://link.springer.com/article/10.1186/s13731-020-00135-3,Article
12th European Congress of Trauma and Emergency Surgery,European Journal of Trauma and Emergency Surgery,,37,1,10.1007/s00068-011-0115-4,,2011,http://link.springer.com/article/10.1007/s00068-011-0115-4,Article
A multivocal literature review of decentralized finance: Current knowledge and future research avenues,Electronic Markets,,33,1,10.1007/s12525-023-00637-4,Vincent GramlichTobias GuggenbergerMarc PrincipatoBenjamin SchellingerNils Urbach,2023,http://link.springer.com/article/10.1007/s12525-023-00637-4,Article
A survey on context awareness in big data analytics for business applications,Knowledge and Information Systems,,62,9,10.1007/s10115-020-01462-3,Loan Thi Ngoc DinhGour KarmakarJoarder Kamruzzaman,2020,http://link.springer.com/article/10.1007/s10115-020-01462-3,Article
20th IFSO World Congress,Obesity Surgery,,25,1,10.1007/s11695-015-1750-3,,2015,http://link.springer.com/article/10.1007/s11695-015-1750-3,Article
Abstracts of the 82nd Annual Meeting of the German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT) and the 18th Annual Meeting of the Network Clinical Pharmacology Germany (VKliPha) in cooperation with the Arbeitsgemeinschaft für Angewandte Humanpharmakologie e.V. (AGAH),Naunyn-Schmiedeberg's Archives of Pharmacology,,389,1,10.1007/s00210-016-1213-y,,2016,http://link.springer.com/article/10.1007/s00210-016-1213-y,Article
A survey of autonomic computing methods in digital service ecosystems,Service Oriented Computing and Applications,,11,1,10.1007/s11761-016-0203-8,Dhaminda B. AbeywickramaEila Ovaska,2017,http://link.springer.com/article/10.1007/s11761-016-0203-8,Article
Cause-related marketing: a systematic review of the literature,International Review on Public and Nonprofit Marketing,,20,1,10.1007/s12208-021-00326-y,Hina Yaqub BhattiM. Mercedes Galan-LaderoClementina Galera-Casquet,2023,http://link.springer.com/article/10.1007/s12208-021-00326-y,Article
A systematic survey of data mining and big data analysis in internet of things,The Journal of Supercomputing,,78,17,10.1007/s11227-022-04594-1,Yong ZhongLiang ChenChanglin DanAmin Rezaeipanah,2022,http://link.springer.com/article/10.1007/s11227-022-04594-1,Article
"European Association of Nuclear Medicine October 22 – 30, 2020 Virtual",European Journal of Nuclear Medicine and Molecular Imaging,,47,1,10.1007/s00259-020-04988-4,,2020,http://link.springer.com/article/10.1007/s00259-020-04988-4,Article
Human-related capabilities in big data analytics: a taxonomy of human factors with impact on firm performance,Review of Managerial Science,,17,6,10.1007/s11846-021-00506-4,Philipp KorherrDominik Kanbach,2023,http://link.springer.com/article/10.1007/s11846-021-00506-4,Article
The implementation of virtual reality in digital factory—a comprehensive review,The International Journal of Advanced Manufacturing Technology,,115,5 - 6,10.1007/s00170-021-07240-x,Sivadas Chandra SekaranHwa Jen YapSiti Nurmaya MusaKan Ern LiewChee Hau TanAtikah Aman,2021,http://link.springer.com/article/10.1007/s00170-021-07240-x,Article
A Conceptual Knowledge Visualisation Framework for Transfer of Knowledge: An Organisational Context,"Responsible Design, Implementation and Use of Information and Communication Technology",,,,10.1007/978-3-030-45002-1_24,Hanlie SmutsIddo-Imri Scholtz,2020,http://link.springer.com/chapter/10.1007/978-3-030-45002-1_24,Chapter
Scientometric analysis of scientific publications in CSCW,Scientometrics,,114,1,10.1007/s11192-017-2562-0,António CorreiaHugo ParedesBenjamim Fonseca,2018,http://link.springer.com/article/10.1007/s11192-017-2562-0,Article
Self-adaptive and secure mechanism for IoT based multimedia services: a survey,Multimedia Tools and Applications,,81,19,10.1007/s11042-020-10493-5,Irish SinghSeok-Won Lee,2022,http://link.springer.com/article/10.1007/s11042-020-10493-5,Article
"2010 Scientific Session of the Society of American Gastrointestinal and Endoscopic Surgeons (SAGES) National Harbor, Maryland, USA, 14-17 April 2010",Surgical Endoscopy,,24,1,10.1007/s00464-010-0972-7,,2010,http://link.springer.com/article/10.1007/s00464-010-0972-7,Article
Interacting with Data to Create Journalistic Stories: A Systematic Review,"Human Interface and the Management of Information. Interaction, Visualization, and Analytics",,,,10.1007/978-3-319-92043-6_54,Daniele R. de SouzaLorenzo P. LeuckCaroline Q. SantosMilene S. SilveiraIsabel H. ManssourRoberto Tietzmann,2018,http://link.springer.com/chapter/10.1007/978-3-319-92043-6_54,Chapter
Patient Confidentiality of Electronic Health Records: A Recent Review of the Saudi Literature,Dr. Sulaiman Al Habib Medical Journal,,4,3,10.1007/s44229-022-00016-9,Nada Saddig AlmaghrabiBussma Ahmed Bugis,2022,http://link.springer.com/article/10.1007/s44229-022-00016-9,Article
15th Congress of the International Pediatric Nephrology Association,Pediatric Nephrology,,25,9,10.1007/s00467-010-1577-z,,2010,http://link.springer.com/article/10.1007/s00467-010-1577-z,Article
Assessing climate service products with evaluation metrics: an application to decision support tools for climate change adaptation in the USA,Climatic Change,,176,8,10.1007/s10584-023-03595-0,Momtaz JahanJulia ReisJulie Shortridge,2023,http://link.springer.com/article/10.1007/s10584-023-03595-0,Article
A model for automated technological surveillance of web portals and social networks,Journal of Intelligent Information Systems,,56,3,10.1007/s10844-021-00641-0,Daniel San Martin Pascal FilhoDouglas Dyllon Jeronimo de Macedo,2021,http://link.springer.com/article/10.1007/s10844-021-00641-0,Article
Does public service motivation predict performance in public sector organizations? A longitudinal science mapping study,Management Review Quarterly,,,,10.1007/s11301-022-00273-w,Roshni Das,2022,http://link.springer.com/article/10.1007/s11301-022-00273-w,Article
Social Knowledge Environments,Business & Information Systems Engineering,,6,2,10.1007/s12599-014-0318-4,Prof. Dr. Jan M. PawlowskiProf. Dr. Markus BickProf. Dr. René PeinlDr. Stefan ThalmannProf. Dr. Ronald MaierDipl.-Wirt.-Inf. Lars HetmankDipl.-Wirt.-Inf. Paul KruseMalte MartensenHenri Pirkkalainen,2014,http://link.springer.com/article/10.1007/s12599-014-0318-4,Article
Towards a serious games design framework for people with intellectual disability or autism spectrum disorder,Education and Information Technologies,,25,4,10.1007/s10639-020-10124-4,Stavros TsikinasStelios Xinogalos,2020,http://link.springer.com/article/10.1007/s10639-020-10124-4,Article
Sustainable financial services: reflection and future perspectives,Journal of Financial Services Marketing,,,,10.1057/s41264-022-00187-4,Jasman TuyonOkey Peter OnyiaAidi AhmiChia-Hsing Huang,2022,http://link.springer.com/article/10.1057/s41264-022-00187-4,Article
EANM'17,European Journal of Nuclear Medicine and Molecular Imaging,,44,2,10.1007/s00259-017-3822-1,,2017,http://link.springer.com/article/10.1007/s00259-017-3822-1,Article
Cyber Security Threats and Vulnerabilities: A Systematic Mapping Study,Arabian Journal for Science and Engineering,,45,4,10.1007/s13369-019-04319-2,Mamoona HumayunMahmood NiaziNZ JhanjhiMohammad AlshayebSajjad Mahmood,2020,http://link.springer.com/article/10.1007/s13369-019-04319-2,Article
Machine learning computational tools to assist the performance of systematic reviews: A mapping review,BMC Medical Research Methodology,,22,1,10.1186/s12874-022-01805-4,Ramon Cierco JimenezTeresa LeeNicolás RosilloReynalda CordovaIan A CreeAngel GonzalezBlanca Iciar Indave Ruiz,2022,http://link.springer.com/article/10.1186/s12874-022-01805-4,Article
"Opinion mining for national security: techniques, domain applications, challenges and research opportunities",Journal of Big Data,,8,1,10.1186/s40537-021-00536-5,Noor Afiza Mat RazaliNur Atiqah MalizanNor Asiakin HasbullahMuslihah WookNorulzahrah Mohd ZainuddinKhairul Khalil IshakSuzaimah RamliSazali Sukardi,2021,http://link.springer.com/article/10.1186/s40537-021-00536-5,Article
Evaluation of augmented reality technology for the design of an evacuation training game,Virtual Reality,,24,3,10.1007/s10055-019-00410-z,Cagatay CatalAkhan AkbulutBerkay TunaliErol UlugEren Ozturk,2020,http://link.springer.com/article/10.1007/s10055-019-00410-z,Article
A Survey of SOA Migration in Industry,Service-Oriented Computing,,,,10.1007/978-3-642-25535-9_48,Maryam RazavianPatricia Lago,2011,http://link.springer.com/chapter/10.1007/978-3-642-25535-9_48,Chapter
International Society of Pharmacovigilance,Drug Safety,,33,10,10.2165/11532470-000000000-00000,,2010,http://link.springer.com/article/10.2165/11532470-000000000-00000,Article
What is needed to build a personalized recommender system for K-12 students’ E-Learning? Recommendations for future systems and a conceptual framework,Education and Information Technologies,,28,6,10.1007/s10639-022-11489-4,Tasnim M. A. ZayetMaizatul Akmar IsmailSara H. S. AlmadiJamallah Mohammed Hussein ZawiaAzmawaty Mohamad Nor,2023,http://link.springer.com/article/10.1007/s10639-022-11489-4,Article
Digital Transformation and Strategic Management: a Systematic Review of the Literature,Journal of the Knowledge Economy,,13,4,10.1007/s13132-021-00853-3,Bruno Siano RêgoShital JayantilalJoão J. FerreiraElias G. Carayannis,2022,http://link.springer.com/article/10.1007/s13132-021-00853-3,Article
A systematic mapping study on solving university timetabling problems using meta-heuristic algorithms,Neural Computing and Applications,,32,23,10.1007/s00521-020-05110-3,Abeer BashabAshraf Osman IbrahimEltayeb E. AbedElgabarMohd Arfian IsmailAbubakar ElsafiAli AhmedAjith Abraham,2020,http://link.springer.com/article/10.1007/s00521-020-05110-3,Article
Understanding the interplay of artificial intelligence and strategic management: four decades of research in review,Management Review Quarterly,,71,1,10.1007/s11301-020-00181-x,Christoph Keding,2021,http://link.springer.com/article/10.1007/s11301-020-00181-x,Article
Semi-automated BP Integration in Virtual Organizations,Collaboration in a Hyperconnected World,,,,10.1007/978-3-319-45390-3_8,Katarzyna AdamiakHodjat Soleimani MalekanHamideh Afsarmanesh,2016,http://link.springer.com/chapter/10.1007/978-3-319-45390-3_8,Chapter
Factors and theoretical framework that influence user acceptance for electronic personalized health records,Personal and Ubiquitous Computing,,,,10.1007/s00779-021-01563-y,Noorayisahbe Mohd YaacobAbd Samad Hasan BasariMohd Khanapi Abd GhaniMohamed DoheirAbdelrafe Elzamly,2021,http://link.springer.com/article/10.1007/s00779-021-01563-y,Article
Society of Surgical Oncology 72nd Annual Cancer Symposium,Annals of Surgical Oncology,,26,1,10.1245/s10434-019-07174-5,,2019,http://link.springer.com/article/10.1245/s10434-019-07174-5,Article
An empirical study of architecting for continuous delivery and deployment,Empirical Software Engineering,,24,3,10.1007/s10664-018-9651-4,Mojtaba ShahinMansooreh ZahediMuhammad Ali BabarLiming Zhu,2019,http://link.springer.com/article/10.1007/s10664-018-9651-4,Article
Towards enhancing ecological validity in user studies: a systematic review of guidelines and implications for QoE research,Quality and User Experience,,8,1,10.1007/s41233-023-00059-2,Sruti SubramanianKatrien De MoorMarkus FiedlerKamil KoniuchLucjan Janowski,2023,http://link.springer.com/article/10.1007/s41233-023-00059-2,Article
Circular and Digital Systems in SMEs: An Assessment of the Past and Present Literature for Future Research Directions,International Journal of Global Business and Competitiveness,,,,10.1007/s42943-023-00073-3,Ashutosh SamadhiyaAnil KumarJose Arturo Garza-Reyes,2023,http://link.springer.com/article/10.1007/s42943-023-00073-3,Article
"Abstracts from the 19th World Congress of the International Federation for the Surgery of Obesity & Metabolic Disorders (IFSO), Montreal, Canada 26–30 August 2014",Obesity Surgery,,24,8,10.1007/s11695-014-1292-0,,2014,http://link.springer.com/article/10.1007/s11695-014-1292-0,Article
Reference architecture design for farm management information systems: a multi-case study approach,Precision Agriculture,,22,1,10.1007/s11119-020-09728-0,J. TummersA. KassahunB. Tekinerdogan,2021,http://link.springer.com/article/10.1007/s11119-020-09728-0,Article
Sizing Prenatal mPHRs using COSMIC Measurement Method,Journal of Medical Systems,,43,10,10.1007/s10916-019-1446-7,Mariam BachiriAli IdriAlain AbranLeanne M. RedmanJosé Luis Fernández-Alemán,2019,http://link.springer.com/article/10.1007/s10916-019-1446-7,Article
"The Action-oriented Stakeholder Engagement for a Resilient Tomorrow (ASERT) framework: an effective, field-tested approach for engaging stakeholders",Journal of Environmental Studies and Sciences,,9,4,10.1007/s13412-019-00556-x,Juita-Elena (Wie) YusufBurton St. John IIIPragati RawatMichelle CoviJanet Gail NiculaCarol Considine,2019,http://link.springer.com/article/10.1007/s13412-019-00556-x,Article
The 11th IAMMM Academy Conference,Manuelle Medizin,,58,1 - 2,10.1007/s00337-019-00635-8,,2020,http://link.springer.com/article/10.1007/s00337-019-00635-8,Article
Impact of industry 4.0 on healthcare systems of low- and middle- income countries: a systematic review,Health and Technology,,13,1,10.1007/s12553-022-00714-2,Joseph MwanzaArnesh TelukdarieTak Igusa,2023,http://link.springer.com/article/10.1007/s12553-022-00714-2,Article
Exploring the journey of Responsible Business Model Innovation in Asian companies: A review and future research agenda,Asia Pacific Journal of Management,,,,10.1007/s10490-022-09813-0,Domitilla MagniRosa PalladinoArmando PapaPatrice Cailleba,2022,http://link.springer.com/article/10.1007/s10490-022-09813-0,Article
Applications of data hiding techniques in medical and healthcare systems: a survey,Network Modeling Analysis in Health Informatics and Bioinformatics,,7,1,10.1007/s13721-018-0169-x,Hedieh Sajedi,2018,http://link.springer.com/article/10.1007/s13721-018-0169-x,Article
"Edge computing in SDN-IoT networks: a systematic review of issues, challenges and solutions",Cluster Computing,,24,4,10.1007/s10586-021-03311-6,Seyedeh Shabnam JazaeriSam JabbehdariParvaneh AsghariHamid Haj Seyyed Javadi,2021,http://link.springer.com/article/10.1007/s10586-021-03311-6,Article
Jahrestagung der Österreichischen Gesellschaft für Rheumatologie & Rehabilitation,Journal für Mineralstoffwechsel & Muskuloskelettale Erkrankungen,,29,3,10.1007/s41970-022-00205-w,,2022,http://link.springer.com/article/10.1007/s41970-022-00205-w,Article
Integrating immediate gains with sustainable performance: systematic review of paradox at the intersection of strategic management and innovation,Management Review Quarterly,,72,4,10.1007/s11301-021-00225-w,Leonie Schulte,2022,http://link.springer.com/article/10.1007/s11301-021-00225-w,Article
Supporting Business Processes for Collaborative Alliances of Software Service Providers,Risks and Resilience of Collaborative Networks,,,,10.1007/978-3-319-24141-8_43,Maiara Heil CancianCleber Pinelli TeixeiraRicardo J. Rabelo,2015,http://link.springer.com/chapter/10.1007/978-3-319-24141-8_43,Chapter
A comprehensive and systematic study on the cybernetics management systems,Systemic Practice and Action Research,,36,3,10.1007/s11213-022-09610-2,Bo YangJoane V. SerranoMarkus A. LaunerLulu WangKamran Rabiei,2023,http://link.springer.com/article/10.1007/s11213-022-09610-2,Article
Situating Case Studies Within the Design Science Research Paradigm: An Instantiation for Collaborative Networks,Collaboration in a Hyperconnected World,,,,10.1007/978-3-319-45390-3_45,Eric CostaAntónio Lucas SoaresJorge Pinho de Sousa,2016,http://link.springer.com/chapter/10.1007/978-3-319-45390-3_45,Chapter
Mobile PHRs Compliance with Android and iOS Usability Guidelines,Journal of Medical Systems,,38,8,10.1007/s10916-014-0081-6,Belén Cruz ZapataAntonio Hernández NiñirolaAli IdriJosé Luis Fernández-AlemánAmbrosio Toval,2014,http://link.springer.com/article/10.1007/s10916-014-0081-6,Article
"Technological catch-up by east Asian firms: Trends, issues, and future research agenda",Asia Pacific Journal of Management,,35,3,10.1007/s10490-018-9566-z,Yuzhe MiaoJaeyong SongKeun LeeChuyue Jin,2018,http://link.springer.com/article/10.1007/s10490-018-9566-z,Article
Title: production planning and control in industry 4.0 environment: a morphological analysis of literature and research agenda,Journal of Intelligent Manufacturing,,34,6,10.1007/s10845-022-01958-5,Anupama Prashar,2023,http://link.springer.com/article/10.1007/s10845-022-01958-5,Article
Neurocritical Care Society 9th Annual Meeting,Neurocritical Care,,15,1,10.1007/s12028-011-9625-5,,2011,http://link.springer.com/article/10.1007/s12028-011-9625-5,Article
